cluster,cluster_token,cluster_purity,is_representative,line,window_index,window_token,ink,pca_x,pca_y
5,عم,0.5833333333333334,0,2,33,عم,0.1123046875,-0.15709730982780457,-0.25653231143951416
7,ل,0.38461538461538464,0,2,34,ل,0.092041015625,-0.12259849905967712,-0.2034478634595871
6,<SPACE>,0.92,0,2,35,<SPACE>,0.06103515625,0.7667366862297058,0.29466891288757324
2,ال,0.5882352941176471,0,2,36,ال,0.103515625,-0.680391252040863,0.7776565551757812
3,ج,0.36363636363636365,0,2,37,ج,0.12353515625,0.30078157782554626,-0.4275420308113098
3,ج,0.36363636363636365,1,2,38,ج,0.118408203125,-0.017581695690751076,-0.36789196729660034
2,ال,0.5882352941176471,0,2,39,ا,0.105712890625,-0.49593880772590637,0.2329273521900177
5,عم,0.5833333333333334,0,2,40,د,0.048583984375,-0.15297909080982208,-0.005235913675278425
6,<SPACE>,0.92,0,2,41,<SPACE>,0.0693359375,0.7567281723022461,0.31389284133911133
0,ما,0.2777777777777778,0,2,42,يؤ,0.13916015625,-0.06709251552820206,-0.05890341475605965
9,تي,0.4,0,2,43,تي,0.1484375,-0.14347662031650543,-0.2878853380680084
9,تي,0.4,0,2,44,تي,0.1064453125,-0.2125057876110077,-0.2741270959377289
6,<SPACE>,0.92,0,2,45,<SPACE>,0.0419921875,0.7554795145988464,0.3210529685020447
8,ث,0.5,0,2,46,ث,0.07568359375,0.06516450643539429,-0.3690536618232727
8,ث,0.5,0,2,47,ث,0.10498046875,-0.06987568736076355,-0.5684411525726318
0,ما,0.2777777777777778,0,2,48,م,0.1005859375,-0.319408118724823,-0.28830039501190186
9,تي,0.4,0,2,49,ا,0.099609375,-0.3761098384857178,0.17941084504127502
7,ل,0.38461538461538464,0,2,50,ره,0.064697265625,0.17458263039588928,-0.24760179221630096
6,<SPACE>,0.92,0,2,51,<SPACE>,0.0498046875,0.7546006441116333,0.3244726359844208
5,عم,0.5833333333333334,0,2,52,د,0.057373046875,-0.2978590428829193,-0.0695173442363739
2,ال,0.5882352941176471,0,2,53,ائ,0.1103515625,-0.2440299391746521,0.2003503143787384
0,ما,0.2777777777777778,0,2,54,ما,0.122802734375,-0.2506687343120575,-0.2962084710597992
0,ما,0.2777777777777778,0,2,55,ما,0.096435546875,-0.31929904222488403,-0.2928203046321869
6,<SPACE>,0.92,0,2,56,<SPACE>,0.056640625,0.7545716166496277,0.32411277294158936
1,طل,0.25,0,2,57,ب,0.083740234375,0.1021723747253418,-0.37681254744529724
7,ل,0.38461538461538464,0,2,58,فض,0.131103515625,-0.01200152188539505,-0.39423850178718567
7,ل,0.38461538461538464,0,2,59,فض,0.114501953125,-0.048402272164821625,-0.22219225764274597
7,ل,0.38461538461538464,0,2,60,فض,0.128173828125,-0.09816134721040726,-0.2355937510728836
7,ل,0.38461538461538464,0,2,61,ل,0.107421875,-0.14374680817127228,-0.19976933300495148
7,ل,0.38461538461538464,0,2,62,ل,0.053466796875,-0.08771806955337524,-0.21630458533763885
