window,physical_x0,physical_x1,ink_ratio,used_by_training_dtw,primitive_raw_norm,semantic_norm,primitive_semantic_cosine,restoration_mae,restoration_edge_mae,top1_letter,top1_cosine,top2_letter,top2_cosine,top1_margin,dtw_letter_indices,dtw_letters,dtw_path_cosine_mean,previous_primitive_cosine,next_primitive_cosine,previous_semantic_cosine,next_semantic_cosine
24,608,640,0.030517578125,True,11.35256290435791,11.289790153503418,0.8496667742729187,0.5576121211051941,0.06974788010120392,م,0.20599086582660675,ع,0.19547156989574432,0.010519295930862427,16,ر,-0.1331571489572525,0.03387986868619919,0.9304094314575195,-0.31516993045806885,0.7861577868461609
25,592,624,0.05322265625,True,11.354186058044434,11.299126625061035,0.8416222333908081,0.5490936040878296,0.06924208253622055,ل,0.2575869560241699,ض,0.1380104124546051,0.11957654356956482,17,ة,-0.06652069091796875,0.9304094314575195,0.8603611588478088,0.7861577868461609,0.30279502272605896
26,576,608,0.0869140625,True,11.386534690856934,11.310209274291992,0.6787777543067932,0.507598876953125,0.05521116405725479,م,0.663298487663269,ع,0.3586605489253998,0.30463793873786926,18,ت,-0.07670624554157257,0.8603611588478088,-0.6062057018280029,0.30279502272605896,-0.377810537815094
27,560,592,0.080810546875,True,11.42728042602539,11.387237548828125,0.5815975666046143,0.5050047636032104,0.04752928763628006,ا,0.989480197429657,ز,0.13442693650722504,0.8550532460212708,19,ب,-0.000845706497784704,-0.6062057018280029,-0.49576863646507263,-0.377810537815094,-0.15200382471084595
28,544,576,0.07958984375,True,11.375535011291504,11.327936172485352,0.9038813710212708,0.5069646835327148,0.04606899246573448,ل,0.8509711027145386,ض,0.23479130864143372,0.6161798238754272,20,ن,-0.07939621061086655,-0.49576863646507263,-0.2782779335975647,-0.15200382471084595,-0.13854195177555084
29,528,560,0.076904296875,True,11.406804084777832,11.386512756347656,0.5629196166992188,0.5121029615402222,0.0469202995300293,ا,0.9782821536064148,ز,0.15404127538204193,0.8242408633232117,21,ى,-0.04694601893424988,-0.2782779335975647,-0.3135666847229004,-0.13854195177555084,-0.4029826521873474
30,512,544,0.071044921875,True,11.354140281677246,11.314140319824219,0.9292985200881958,0.5422378182411194,0.06492048501968384,ل,0.6077566146850586,ض,0.17805516719818115,0.42970144748687744,22,ب,-0.1612250655889511,-0.3135666847229004,-0.23984560370445251,-0.4029826521873474,-0.36725741624832153
31,496,528,0.06787109375,True,11.390761375427246,11.382218360900879,0.5289658904075623,0.5271774530410767,0.057884007692337036,ا,0.927086591720581,ز,0.2006789743900299,0.7264076471328735,23,ا,0.927086591720581,-0.23984560370445251,-0.4830816090106964,-0.36725741624832153,-0.4692840576171875
32,480,512,0.06640625,True,11.377182006835938,11.321974754333496,0.7732915878295898,0.5254604816436768,0.05789085850119591,ل,0.7387019991874695,ض,0.18006612360477448,0.5586358904838562,24,ل,0.7387019991874695,-0.4830816090106964,-0.22451312839984894,-0.4692840576171875,-0.36382725834846497
33,464,496,0.065185546875,True,11.373054504394531,11.334218978881836,0.5755459070205688,0.5422280430793762,0.0645202025771141,ا,0.5675405263900757,س,0.22079607844352722,0.34674444794654846,25,ع,-0.07037592679262161,-0.22451312839984894,-0.20587779581546783,-0.36382725834846497,-0.33431148529052734
34,448,480,0.06298828125,True,11.3739652633667,11.32021427154541,0.7934419512748718,0.5356956720352173,0.05589717999100685,ل,0.702066957950592,ض,0.19036759436130524,0.511699378490448,26,ل,0.702066957950592,-0.20587779581546783,0.8590272665023804,-0.33431148529052734,0.26722222566604614
35,432,464,0.07177734375,True,11.384828567504883,11.31497573852539,0.6793362498283386,0.5126661062240601,0.05297666788101196,م,0.5998221039772034,ي,0.3728336989879608,0.22698840498924255,27 28 29,مغذ,0.2598416854937871,0.8590272665023804,-0.6632058620452881,0.26722222566604614,-0.4405791461467743
36,416,448,0.0732421875,True,11.42975902557373,11.387063026428223,0.5945685505867004,0.49879610538482666,0.04687733203172684,ا,0.9912087917327881,ح,0.16272619366645813,0.8284826278686523,30,ا,0.9912087917327881,-0.6632058620452881,0.2911527454853058,-0.4405791461467743,0.9088858962059021
37,400,432,0.085205078125,True,11.381052017211914,11.379024505615234,0.5702860951423645,0.5142835974693298,0.048869870603084564,ا,0.9042150378227234,ز,0.1431845724582672,0.7610304355621338,31 32,ءا,0.44307508133351803,0.2911527454853058,-0.08621833473443985,0.9088858962059021,-0.24116265773773193
38,384,416,0.09912109375,True,11.375448226928711,11.31947135925293,0.7953547239303589,0.5301718711853027,0.06151948124170303,ل,0.6901036500930786,ض,0.2128235548734665,0.4772800803184509,33,ل,0.6901036500930786,-0.08621833473443985,0.5111469030380249,-0.24116265773773193,0.10142454504966736
39,368,400,0.068603515625,True,11.333001136779785,11.282572746276855,0.9408811926841736,0.5562843680381775,0.08164701610803604,م,0.23760966956615448,ى,0.1950967162847519,0.04251295328140259,34,ع,0.17760084569454193,0.5111469030380249,0.6960436105728149,0.10142454504966736,0.6321038603782654
40,352,384,0.05859375,True,11.356736183166504,11.280235290527344,0.821247398853302,0.5469076633453369,0.06831125169992447,ع,0.27217718958854675,م,0.2530396282672882,0.019137561321258545,34,ع,0.27217718958854675,0.6960436105728149,0.2965516448020935,0.6321038603782654,-0.0674474686384201
41,336,368,0.07275390625,True,11.425261497497559,11.388507843017578,0.7420891523361206,0.49427950382232666,0.04485267773270607,ا,0.982874870300293,ز,0.1637512445449829,0.8191236257553101,35,ق,-0.21967792510986328,0.2965516448020935,0.521347165107727,-0.0674474686384201,0.9302396774291992
42,320,352,0.062744140625,True,11.38429069519043,11.385130882263184,0.5346956253051758,0.5083950161933899,0.04764191061258316,ا,0.9282163381576538,ز,0.15074889361858368,0.7774674296379089,36,ل,0.01972672902047634,0.521347165107727,0.5214255452156067,0.9302396774291992,-0.20095954835414886
43,304,336,0.033935546875,True,11.339510917663574,11.3048677444458,0.9501028060913086,0.5637884736061096,0.07294398546218872,ل,0.42757678031921387,ض,0.12581320106983185,0.3017635941505432,36,ل,0.42757678031921387,0.5214255452156067,0.5278633832931519,-0.20095954835414886,0.5278420448303223
44,288,320,0.06005859375,True,11.39186954498291,11.32497501373291,0.6925941705703735,0.5033332109451294,0.04608765244483948,ل,0.7934229969978333,م,0.2970183491706848,0.49640464782714844,37,ه,0.20723333954811096,0.5278633832931519,-0.19823279976844788,0.5278420448303223,-0.2360302209854126
45,272,304,0.092041015625,True,11.388525009155273,11.312232971191406,0.7230554819107056,0.5185414552688599,0.05297425761818886,ي,0.4854486286640167,س,0.3803044855594635,0.10514414310455322,38,ي,0.4854486286640167,-0.19823279976844788,0.33204951882362366,-0.2360302209854126,0.11660254001617432
46,256,288,0.06640625,True,11.422085762023926,11.387619018554688,0.6823781728744507,0.5069838762283325,0.04268714785575867,ا,0.9884552359580994,ز,0.14370538294315338,0.8447498679161072,39,ا,0.9884552359580994,0.33204951882362366,0.7972519993782043,0.11660254001617432,0.9898731708526611
47,240,272,0.054931640625,True,11.396787643432617,11.388124465942383,0.5916110277175903,0.5084526538848877,0.043533001095056534,ا,0.9697818756103516,ز,0.16431504487991333,0.8054668307304382,39,ا,0.9697818756103516,0.7972519993782043,0.9531410932540894,0.9898731708526611,0.9938040971755981
48,224,256,0.052978515625,True,11.395706176757812,11.38508129119873,0.5999425649642944,0.5165426135063171,0.049090370535850525,ا,0.9684697389602661,ز,0.15025028586387634,0.8182194232940674,39,ا,0.9684697389602661,0.9531410932540894,0.9695538282394409,0.9938040971755981,0.9938122034072876
49,208,240,0.0537109375,True,11.395110130310059,11.383828163146973,0.623583197593689,0.5169383883476257,0.05066186189651489,ا,0.963002622127533,ز,0.1523251235485077,0.8106775283813477,39,ا,0.963002622127533,0.9695538282394409,0.9459933638572693,0.9938122034072876,0.9923911094665527
50,192,224,0.062744140625,True,11.393874168395996,11.386125564575195,0.6196210384368896,0.516569972038269,0.048816192895174026,ا,0.9570646286010742,ز,0.1602151244878769,0.7968494892120361,39,ا,0.9570646286010742,0.9459933638572693,0.8541477918624878,0.9923911094665527,0.9816851019859314
51,176,208,0.071044921875,True,11.43026065826416,11.389326095581055,0.7249333262443542,0.49822765588760376,0.04333384335041046,ا,0.9919002652168274,ز,0.14477692544460297,0.8471233248710632,39,ا,0.9919002652168274,0.8541477918624878,0.7144150137901306,0.9816851019859314,0.9848214983940125
52,160,192,0.0732421875,True,11.401315689086914,11.390414237976074,0.5916540026664734,0.5030841827392578,0.04667442664504051,ا,0.9710255265235901,ز,0.1698935627937317,0.8011319637298584,39,ا,0.9710255265235901,0.7144150137901306,0.7159438729286194,0.9848214983940125,0.9865520000457764
53,144,176,0.0634765625,True,11.407382011413574,11.38736629486084,0.6441470384597778,0.5078103542327881,0.049336452037096024,ا,0.9760515093803406,ز,0.1592968851327896,0.8167546391487122,39,ا,0.9760515093803406,0.7159438729286194,0.8074110150337219,0.9865520000457764,0.9850038290023804
54,128,160,0.03857421875,True,11.394366264343262,11.388675689697266,0.5632309317588806,0.517035186290741,0.04672740399837494,ا,0.9703943729400635,ز,0.1595701277256012,0.8108242750167847,39,ا,0.9703943729400635,0.8074110150337219,0.764241635799408,0.9850038290023804,0.6334088444709778
55,112,144,0.03564453125,True,11.3466796875,11.331770896911621,0.7123394012451172,0.559601366519928,0.06494567543268204,ا,0.4932982623577118,ز,0.13554100692272186,0.3577572703361511,39,ا,0.4932982623577118,0.764241635799408,0.43788209557533264,0.6334088444709778,0.5749540328979492
56,96,128,0.05029296875,True,11.423200607299805,11.38867473602295,0.6818009614944458,0.5076069235801697,0.044146064668893814,ا,0.9899621605873108,ز,0.14719736576080322,0.8427647948265076,39,ا,0.9899621605873108,0.43788209557533264,0.032846175134181976,0.5749540328979492,-0.20881548523902893
57,80,112,0.062255859375,True,11.350643157958984,11.315102577209473,0.9125878810882568,0.5512597560882568,0.06627065688371658,ل,0.6061044335365295,ض,0.2037615329027176,0.40234291553497314,40,ل,0.6061044335365295,0.032846175134181976,0.8397381901741028,-0.20881548523902893,0.8001453280448914
58,64,96,0.068115234375,True,11.339366912841797,11.304052352905273,0.9606172442436218,0.5625073313713074,0.07722818851470947,ل,0.3042909801006317,ز,0.14686702191829681,0.1574239581823349,41,س,0.00030440781847573817,0.8397381901741028,0.3811197578907013,0.8001453280448914,-0.09155921638011932
59,48,80,0.075439453125,True,11.385360717773438,11.311007499694824,0.6524968147277832,0.5095808506011963,0.053199946880340576,م,0.6475829482078552,ع,0.3832477331161499,0.2643352150917053,42 43 44 45 46 47 48 49,ندبصوتمن,0.1398067087866366,0.3811197578907013,-0.23251251876354218,-0.09155921638011932,-0.29256144165992737
60,32,64,0.078125,True,11.381022453308105,11.373416900634766,0.5047286152839661,0.5428169965744019,0.056947849690914154,ا,0.8719007968902588,ز,0.15246346592903137,0.7194373607635498,50,خ,-0.025573061779141426,-0.23251251876354218,0.6163177490234375,-0.29256144165992737,0.9156603813171387
61,16,48,0.0693359375,True,11.418828010559082,11.391605377197266,0.7047394514083862,0.5058323740959167,0.0462547242641449,ا,0.9850074052810669,ز,0.1695433408021927,0.8154640793800354,51,ف,0.06169702857732773,0.6163177490234375,0.8312990665435791,0.9156603813171387,0.9550260305404663
62,0,32,0.045654296875,True,11.377058029174805,11.381937980651855,0.5282900929450989,0.5339647531509399,0.05412016063928604,ا,0.9305773973464966,ز,0.14819349348545074,0.782383918762207,52,ض,-0.09149514138698578,0.8312990665435791,,0.9550260305404663,
